Applicant_ID,Skills,Education,Experience,Capabilities,Preferred_Job
PWD0001,"typing, data entry, Microsoft Office, communication, graphic design",Senior High School,No formal experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0002,"customer service, communication, computer skills, English, HTML",Senior High School,6 months internship,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0003,"graphic design, Canva, Photoshop, creativity, cooking",College level,6 months work experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0004,"cooking, food preparation, cleanliness, teamwork, Excel",BS Information Technology,1 year work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0005,"HTML, CSS, JavaScript, web development, social media",BS Business Administration,1 year internship,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0006,"Excel, bookkeeping, accounting, organization, writing",BS Office Administration,2 years work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0007,"writing, English, research, proofreading, inventory",BS Accounting Technology,No formal experience,"Writing articles, researching, proofreading",Content Writer
PWD0008,"social media, Canva, communication, creativity, typing",BA Communication,6 months internship,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0009,"inventory, Excel, organization, record keeping, teaching",BS Multimedia Arts,6 months work experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0010,"teaching, communication, patience, English, sales",BS Education,1 year work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0011,"typing, Word, Excel, filing, organization, bookkeeping",Senior High School,1 year internship,"Document preparation, filing, data entry",Administrative Assistant
PWD0012,"sales, communication, customer service, persuasion, photography",Senior High School,2 years work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0013,"photography, photo editing, Photoshop, creativity, computer literacy",College level,No formal experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0014,"bookkeeping, Excel, organization, mathematics, customer service",BS Information Technology,6 months internship,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0015,"computer literacy, typing, communication, email, programming",BS Business Administration,6 months work experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0016,"programming, Python, Java, problem solving, baking",BS Office Administration,1 year work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0017,"customer service, English, communication, patience, Excel",BS Accounting Technology,1 year internship,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0018,"baking, food preparation, teamwork, cleanliness, writing",BA Communication,2 years work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0019,"writing, research, Word, proofreading, typing",BS Multimedia Arts,No formal experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0020,"Excel, inventory, typing, organization, graphic design",BS Education,6 months internship,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0021,"typing, data entry, Microsoft Office, communication, customer service",Senior High School,6 months work experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0022,"customer service, communication, computer skills, English, cooking",Senior High School,1 year work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0023,"graphic design, Canva, Photoshop, creativity, Excel",College level,1 year internship,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0024,"cooking, food preparation, cleanliness, teamwork, HTML",BS Information Technology,2 years work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0025,"HTML, CSS, JavaScript, web development, writing",BS Business Administration,No formal experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0026,"Excel, bookkeeping, accounting, organization, inventory",BS Office Administration,6 months internship,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0027,"writing, English, research, proofreading, social media",BS Accounting Technology,6 months work experience,"Writing articles, researching, proofreading",Content Writer
PWD0028,"social media, Canva, communication, creativity, teaching",BA Communication,1 year work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0029,"inventory, Excel, organization, record keeping, sales",BS Multimedia Arts,1 year internship,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0030,"teaching, communication, patience, English, typing",BS Education,2 years work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0031,"typing, Word, Excel, filing, organization, photography",Senior High School,No formal experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0032,"sales, communication, customer service, persuasion, computer literacy",Senior High School,6 months internship,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0033,"photography, photo editing, Photoshop, creativity, bookkeeping",College level,6 months work experience,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0034,"bookkeeping, Excel, organization, mathematics, programming",BS Information Technology,1 year work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0035,"computer literacy, typing, communication, email, baking",BS Business Administration,1 year internship,"Email handling, encoding documents, file organization",Office Assistant
PWD0036,"programming, Python, Java, problem solving, customer service",BS Office Administration,2 years work experience,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0037,"customer service, English, communication, patience, writing",BS Accounting Technology,No formal experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0038,"baking, food preparation, teamwork, cleanliness, typing",BA Communication,6 months internship,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0039,"writing, research, Word, proofreading, Excel",BS Multimedia Arts,6 months work experience,"Online research, organizing information, preparing reports",Research Assistant
PWD0040,"Excel, inventory, typing, organization, customer service",BS Education,1 year work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0041,"typing, data entry, Microsoft Office, communication, cooking",Senior High School,1 year internship,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0042,"customer service, communication, computer skills, English, graphic design",Senior High School,2 years work experience,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0043,"graphic design, Canva, Photoshop, creativity, HTML",College level,No formal experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0044,"cooking, food preparation, cleanliness, teamwork, writing",BS Information Technology,6 months internship,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0045,"HTML, CSS, JavaScript, web development, Excel",BS Business Administration,6 months work experience,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0046,"Excel, bookkeeping, accounting, organization, social media",BS Office Administration,1 year work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0047,"writing, English, research, proofreading, teaching",BS Accounting Technology,1 year internship,"Writing articles, researching, proofreading",Content Writer
PWD0048,"social media, Canva, communication, creativity, inventory",BA Communication,2 years work experience,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0049,"inventory, Excel, organization, record keeping, typing",BS Multimedia Arts,No formal experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0050,"teaching, communication, patience, English, photography",BS Education,6 months internship,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0051,"typing, Word, Excel, filing, organization, sales",Senior High School,6 months work experience,"Document preparation, filing, data entry",Administrative Assistant
PWD0052,"sales, communication, customer service, persuasion, bookkeeping",Senior High School,1 year work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0053,"photography, photo editing, Photoshop, creativity, programming",College level,1 year internship,"Editing photographs, enhancing images, organizing media",Photo Editor
PWD0054,"bookkeeping, Excel, organization, mathematics, computer literacy",BS Information Technology,2 years work experience,"Recording transactions, organizing financial records",Bookkeeping Assistant
PWD0055,"computer literacy, typing, communication, email, customer service",BS Business Administration,No formal experience,"Email handling, encoding documents, file organization",Office Assistant
PWD0056,"programming, Python, Java, problem solving, writing",BS Office Administration,6 months internship,"Writing basic programs, debugging, testing applications",Junior Programmer
PWD0057,"customer service, English, communication, patience, baking",BS Accounting Technology,6 months work experience,"Handling inquiries, providing support, documenting concerns",Customer Support Agent
PWD0058,"baking, food preparation, teamwork, cleanliness, Excel",BA Communication,1 year work experience,"Baking assistance, ingredient preparation, cleaning",Bakery Assistant
PWD0059,"writing, research, Word, proofreading, customer service",BS Multimedia Arts,1 year internship,"Online research, organizing information, preparing reports",Research Assistant
PWD0060,"Excel, inventory, typing, organization, typing",BS Education,2 years work experience,"Recording products, updating inventory databases, stock records",Inventory Clerk
PWD0061,"typing, data entry, Microsoft Office, communication, graphic design",Senior High School,No formal experience,"Encoding documents, organizing files, spreadsheet use",Data Entry Clerk
PWD0062,"customer service, communication, computer skills, English, HTML",Senior High School,6 months internship,"Answering inquiries, resolving concerns, assisting customers",Customer Service Representative
PWD0063,"graphic design, Canva, Photoshop, creativity, cooking",College level,6 months work experience,"Creating posters, editing images, social media graphics",Graphic Designer
PWD0064,"cooking, food preparation, cleanliness, teamwork, Excel",BS Information Technology,1 year work experience,"Food preparation, cleaning, kitchen assistance",Kitchen Assistant
PWD0065,"HTML, CSS, JavaScript, web development, social media",BS Business Administration,1 year internship,"Creating webpages, website editing, basic coding",Junior Web Developer
PWD0066,"Excel, bookkeeping, accounting, organization, writing",BS Office Administration,2 years work experience,"Recording transactions, spreadsheets, filing",Accounting Assistant
PWD0067,"writing, English, research, proofreading, inventory",BS Accounting Technology,No formal experience,"Writing articles, researching, proofreading",Content Writer
PWD0068,"social media, Canva, communication, creativity, typing",BA Communication,6 months internship,"Creating posts, managing pages, digital content",Social Media Assistant
PWD0069,"inventory, Excel, organization, record keeping, teaching",BS Multimedia Arts,6 months work experience,"Recording stocks, checking inventory, updating records",Inventory Assistant
PWD0070,"teaching, communication, patience, English, sales",BS Education,1 year work experience,"Online lessons, explaining topics, preparing materials",Online Tutor
PWD0071,"typing, Word, Excel, filing, organization, bookkeeping",Senior High School,1 year internship,"Document preparation, filing, data entry",Administrative Assistant
PWD0072,"sales, communication, customer service, persuasion, photography",Senior High School,2 years work experience,"Assisting customers, explaining products, processing sales",Sales Assistant
PWD0073,"photography, photo editing, Photoshop, creativity, computer literacy",College level,No formal experience,"Editing photographs, enhancing images, organizing media",Photo Editor
